WRN 2026-05-18T21:31:28.499 ui.44207   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-05-18T21:31:51.553 ui.44305   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-05-18T21:31:51.553 ui.44305   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-05-18T21:31:51.553 ui.44305   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-05-18T21:31:51.553 ui.44305   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-05-18T21:31:51.553 ui.44305   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-05-18T21:34:35.415 ui.45135   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-05-18T21:34:35.415 ui.45135   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-05-18T21:34:35.415 ui.45135   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-05-18T21:34:35.415 ui.45135   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-05-18T21:34:35.415 ui.45135   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-05-18T21:39:45.289 ui.46616   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-05-18T21:39:45.290 ui.46616   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-05-18T21:39:45.290 ui.46616   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-05-18T21:39:45.290 ui.46616   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-05-18T21:39:45.290 ui.46616   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-05-18T21:40:32.057 ui.46890   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-05-18T21:40:32.057 ui.46890   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-05-18T21:40:32.057 ui.46890   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-05-18T21:40:32.057 ui.46890   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-05-18T21:40:32.057 ui.46890   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-05-18T21:41:04.864 ui.47042   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-05-18T21:41:04.864 ui.47042   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-05-18T21:41:04.864 ui.47042   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-05-18T21:41:04.864 ui.47042   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-05-18T21:41:04.864 ui.47042   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-05-18T21:41:51.096 ui.47236   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-05-18T21:41:51.096 ui.47236   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-05-18T21:41:51.096 ui.47236   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-05-18T21:41:51.096 ui.47236   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-05-18T21:41:51.096 ui.47236   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
WRN 2026-05-18T21:42:39.046 ui.47524   tui_handle_term_mode:226: TUI: terminal mode 69 unavailable, state 0
WRN 2026-05-18T21:42:39.046 ui.47524   tui_handle_term_mode:239: TUI: terminal mode 2026 detected, state 2
WRN 2026-05-18T21:42:39.046 ui.47524   tui_handle_term_mode:226: TUI: terminal mode 2027 unavailable, state 0
WRN 2026-05-18T21:42:39.046 ui.47524   tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-05-18T21:42:39.046 ui.47524   tui_handle_term_mode:239: TUI: terminal mode 2048 detected, state 2
